Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
284;11;11;Mijat Gacinovic;Serbien;11;0;1;
285;11;5;Gelson Fernandes;Schweiz;9;0;0;
286;11;16;Lucas Torró;Spanien;3;0;0;
287;11;6;Jonathan De Guzmán;Niederlande;1;0;0;
288;11;28;Aymen Barkok;Deutschland;0;0;0;
289;11;42;Marijan Cavar;Bosnien-Herzegowina;0;0;0;
290;11;38;Patrick Finger;Deutschland;0;0;0;
291;11;39;Gonçalo Paciência;Portugal;16;7;1;
292;11;9;Bas Dost;Niederlande;12;5;0;
293;11;33;André Silva;Portugal;10;3;1;
294;11;7;Dejan Joveljic;Serbien;4;0;0;
295;11;;Adolf Hütter;Österreich;0;0;0;
296;12;1;Rafal Gikiewicz;Polen;18;0;0;
297;12;12;Jakob Busk;Dänemark;0;0;0;
298;12;35;Moritz Nicolas;Deutschland;0;0;0;
299;12;39;Leo Oppermann;Deutschland;0;0;0;
300;12;28;Christopher Trimmel;Österreich;17;0;4;
301;12;5;Marvin Friedrich;Deutschland;17;0;0;
302;12;25;Christopher Lenz;Deutschland;17;0;0;
303;12;3;Neven Subotic;Deutschland;12;0;0;
304;12;31;Keven Schlotterbeck;Deutschland;9;0;0;
305;12;19;Florian Hübner;Deutschland;5;0;0;
306;12;14;Ken Reichel;Deutschland;2;0;0;
307;12;33;Lennard Maloney;Unbekannt;0;0;0;
308;12;30;Robert Andrich;Deutschland;17;0;1;
309;12;34;Christian Gentner;Deutschland;17;0;1;
310;12;8;Joshua Mees;Deutschland;7;0;0;
311;12;23;Felix Kroos;Deutschland;6;0;0;
312;12;6;Julian Ryerson;Norwegen;5;0;1;
313;12;7;Akaki Gogia;Deutschland;3;0;0;
314;12;24;Manuel Schmiedebach;Deutschland;3;0;0;
315;12;21;Grischa Prömel;Deutschland;2;0;0;
316;12;;Yunus Malli;Türkei;1;0;0;
317;12;17;Florian Flecker;Österreich;0;0;0;
318;12;26;Julius Kade;Deutschland;0;0;0;
319;12;40;Maurice Opfermann;Deutschland;0;0;0;
320;12;10;Sebastian Andersson;Schweden;18;8;1;
321;12;15;Marius Bülter;Deutschland;17;4;0;
322;12;11;Anthony Ujah;Nigeria;15;2;0;
323;12;32;Marcus Ingvartsen;Dänemark;14;3;1;
324;12;9;Sebastian Polter;Deutschland;10;2;1;
325;12;27;Sheraldo Becker;Niederlande;10;0;2;
326;12;20;Suleiman Abdullahi;Nigeria;4;0;0;
327;12;16;Laurenz Dehl;Deutschland;0;0;0;
328;12;;Urs Fischer;Schweiz;0;0;0;
329;13;1;Timo Horn;Deutschland;18;0;0;
330;13;32;Julian Krahl;Deutschland;0;0;0;
331;13;31;Brady Scott;Unbekannt;0;0;0;
332;13;33;Sebastiaan Bornauw;Belgien;17;3;0;
333;13;5;Rafael Czichos;Deutschland;16;1;1;
334;13;19;Kingsley Ehizibue;Niederlande;16;0;0;
335;13;34;Noah Katterbach;Deutschland;9;0;0;
336;13;38;Ismail Jakobs;Deutschland;7;1;0;
337;13;2;Benno Erik Schmitz;Deutschland;6;0;0;
338;13;22;Jorge Meré;Spanien;5;0;0;
339;13;3;Lasse Sobiech;Deutschland;1;0;0;
340;13;14;Jonas Hector;Deutschland;17;3;1;
341;13;28;Ellyes Skhiri;Tunesien;16;1;3;
342;13;24;Dominick Drexler;Deutschland;14;2;1;
343;13;30;Florian Kainz;Österreich;13;0;3;
344;13;11;Kingsley Schindler;Deutschland;11;0;2;
345;13;8;Birger Verstraete;Belgien;9;0;1;
346;13;6;Marco Höger;Deutschland;9;0;0;
347;13;7;Marcel Risse;Deutschland;6;0;2;
348;13;17;Christian Clemens;Deutschland;0;0;0;
349;13;36;Niklas Hauptmann;Deutschland;0;0;0;
350;13;21;Vincent Koziello;Frankreich;0;0;0;
351;13;;Elvis Rexhbecaj;Albanien;0;0;0;
352;13;9;Simon Terodde;Deutschland;16;3;0;
353;13;15;Jhon Córdoba;Kolumbien;15;6;0;
354;13;27;Anthony Modeste;Frankreich;14;1;1;
355;13;;Mark Uth;Deutschland;1;0;1;
356;13;;Markus Gisdol;Deutschland;0;0;0;
357;14;22;Rune Jarstein;Norwegen;16;0;0;
358;14;1;Thomas Kraft;Deutschland;2;0;0;
359;14;13;Lukas Klünter;Deutschland;16;0;1;
360;14;20;Dedryck Boyata;Belgien;15;1;1;
361;14;17;Maximilian Mittelstädt;Deutschland;14;1;0;
362;14;5;Niklas Stark;Deutschland;12;0;0;
363;14;4;Karim Rekik;Niederlande;11;1;0;
364;14;21;Marvin Plattenhardt;Deutschland;9;0;0;
365;14;29;Florian Baak;Deutschland;0;0;0;
366;14;2;Peter Pekarík;Slowakei;0;0;0;
367;14;28;Dodi Lukebakio;Belgien;17;4;3;
368;14;15;Marko Grujic;Serbien;16;3;1;
369;14;3;Per Ciljan Skjelbred;Norwegen;13;0;0;
370;14;8;Salomon Kalou;Elfenbeinküste;5;1;0;
371;14;23;Arne Maier;Deutschland;2;0;0;
372;14;18;Santiago Ascacibar;Argentinien;1;0;0;
373;14;39;Julian Albrecht;Deutschland;0;0;0;
374;14;27;Davie Selke;Deutschland;18;1;1;
375;14;30;Marius Wolf;Deutschland;15;1;2;
376;14;19;Vedad Ibisevic;Bosnien-Herzegowina;12;3;1;
377;14;;Jürgen Klinsmann;Deutschland;0;0;0;
378;15;27;Robin Zentner;Deutschland;14;0;0;
379;15;1;Florian Müller;Deutschland;3;0;0;
380;15;37;Finn Dahmen;Deutschland;0;0;0;
381;15;19;Moussa Niakhaté;Frankreich;16;0;1;
382;15;3;Aaaron Martin;Spanien;15;0;0;
383;15;18;Daniel Brosinski;Deutschland;14;2;1;
384;15;4;Jeremiah St. Juste;Niederlande;14;1;0;
385;15;42;Alexander Hack;Deutschland;8;0;0;
386;15;2;Ronaël Pierre-Gabriel;Frankreich;3;0;1;
387;15;16;Stefan Bell;Deutschland;0;0;0;
388;15;31;Ahmet Gürleyen;Deutschland;0;0;0;
389;15;32;Niklas Kolle;Deutschland;0;0;0;
390;15;23;Philipp Mwene;Österreich;0;0;0;
391;15;5;Jean-Paul Boëtius;Niederlande;17;3;5;
392;15;14;Pierre Kunde;Kamerun;15;2;1;
393;15;20;Edimilson Fernandes;Schweiz;15;0;0;
394;15;34;Ridle Baku;Deutschland;14;0;0;
395;15;8;Levin Öztunali;Deutschland;12;3;2;
396;15;6;Danny Latza;Deutschland;10;0;1;
397;15;10;Alexandru Maxim;Rumänien;5;0;0;
398;15;38;Erkan Eyibil;Deutschland;0;0;0;
399;15;7;Robin Quaison;Schweden;16;7;1;
400;15;28;Ádám Szalai;Ungarn;14;1;2;
401;15;22;Taiwo Awoniyi;Nigeria;6;0;0;
402;15;9;Jean-Philippe Mateta;Frankreich;3;1;0;
403;15;11;Dong Won Ji;Republik Korea (Südkorea);0;0;0;
404;15;;Achim Beierlorzer;Deutschland;0;0;0;
405;16;1;Jiri Pavlenka;Tschechien;18;0;0;
406;16;27;Stefanos Kapino;Griechenland;0;0;0;
407;16;23;Theodor Gebre Selassie;Tschechien;15;1;0;
408;16;32;Marco Friedl;Österreich;14;1;1;
409;16;13;Milo? Veljkovic;Serbien;11;0;0;
410;16;4;Michael Lang;Schweiz;8;0;0;
411;16;18;Niklas Moisander;Finnland;7;0;0;
412;16;5;Ludwig Augustinsson;Schweden;6;0;1;
413;16;21;Ömer Toprak;Türkei;5;0;0;
414;16;15;Sebastian Langkamp;Deutschland;3;0;0;
415;16;;Kevin Vogt;Deutschland;1;0;0;
416;16;30;Davy Klaassen;Niederlande;18;3;3;
417;16;35;Maximilian Eggestein;Deutschland;17;0;2;
418;16;7;Milot Rashica;Kosovo;14;7;4;
419;16;17;Nuri Sahin;Türkei;14;0;3;
420;16;10;Leonardo Bittencourt;Deutschland;13;2;0;
421;16;44;Philipp Bargfrede;Deutschland;9;0;0;
422;16;36;Christian Groß;Deutschland;9;0;0;
423;16;6;Kevin Möhwald;Deutschland;1;0;0;
424;16;31;David Lennart Philipp;Deutschland;0;0;0;
425;16;26;Simon Straudi;Italien;0;0;0;
426;16;8;Yuya Osako;Japan;13;4;1;
427;16;19;Josh Sargent;Unbekannt;12;2;2;
428;16;14;Claudio Pizarro;Peru;12;0;0;
429;16;11;Niclas Füllkrug;Deutschland;4;2;1;
430;16;;Jonah Osabutey;Ghana;0;0;0;
431;16;;Florian Kohfeldt;Deutschland;0;0;0;
432;17;24;Zack Steffen;Unbekannt;17;0;0;
433;17;33;Florian Kastenmeier;Deutschland;1;0;0;
434;17;12;Maduka Okoye;Nigeria;0;0;0;
435;17;38;Tim Wiesner;Deutschland;0;0;0;
436;17;30;Raphael Wolf;Deutschland;0;0;0;
437;17;25;Matthias Zimmermann;Deutschland;18;0;0;
438;17;5;Kaan Ayhan;Türkei;17;1;2;
439;17;13;Adam Bodzek;Deutschland;16;0;0;
